"cntrl1_4h","cntr12_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas000020",561.054501265529,657.608557949362,681.112041551511,630.021695297348,725.833962177053,499.046132086086,474.546045188138,651.861101984411,629.698545034419,583.399351619162,660.63549045486,720.401844901699
"Tcas000017",5.73918184716062,17.8162670986281,26.201784987679,6.78253021253126,23.2761855132889,18.9125062282013,0.381467881984034,18.2886882320276,15.2411112810878,0.22056686261594,5.06104819041006,2.57516298445648
"Tcas000005",5.34337620252885,11.1532728991412,15.4523347363235,7.72454829760504,13.7005395742776,8.69365205651189,3.05174305587227,10.45067898973,8.50293576734374,2.86736921400722,5.39845140310406,6.27695977461266
"Tcas000023",6.72869595874003,9.41510049927501,12.7649721734846,8.66656638267883,10.4595517179969,12.5066573444557,3.81467881984034,7.27815143927628,9.78639776996167,7.05813960371008,4.55494337136905,9.01307044559766
"Tcas000028",13.2594890951642,16.0780946987619,18.2740654273043,17.7099399993872,14.4371277234324,20.1326679203433,12.3977061644811,14.3696836108788,16.5245732837058,15.4396803831158,14.3396365394952,19.7965654430092
"Tcas000004",80.9422543271963,79.2316918938989,91.1015908802377,84.2164168055964,84.5603195229609,91.207086487616,80.6804570396232,88.6441521450316,87.2754161780188,87.5650444585282,87.2187304814,99.6266179611599
"Tcas000016",47.8924830004438,46.206416296442,42.729064749138,50.1153621259254,34.0303724909477,23.6406327852516,45.013210074116,45.1618627770477,42.8355443373732,61.3175878072313,59.7203686468387,56.0097949119283
"Tcas000001",14.2490032067436,14.1950745989069,10.6150821232135,21.1012051056528,11.6380927566445,11.7440562868669,13.9235776924172,12.1302523987938,10.2676960209434,13.6751454821883,13.4961285077602,17.5432978316097
"Tcas000027",17.6133511861136,20.713221098405,18.945906068014,21.6664159566971,21.6556915851485,15.5570615748108,12.7791740464651,17.1689726259851,17.1663042850147,20.7332850858984,21.0877007933753,20.9231992487089
"Tcas000030",6.72869595874003,8.83570969931962,6.71840640709717,8.28975914864931,8.24978727053277,9.15121269106515,7.8200915806727,6.53167436858128,8.98423401832546,7.05813960371008,6.24195943483907,6.75980283419825
"Tcas000024",127.845223216061,135.287751789582,130.605820553969,132.636146378389,131.554643439032,125.371613867593,118.255043415051,136.232065401838,127.223171009502,141.603925799434,134.792583471255,130.689521461166
"Tcas000035",3.95805644631767,3.04180169976577,3.89667571611636,1.50722893611806,3.09367022644979,2.28780317276629,1.52587152793614,2.79928901510626,2.72735675556309,3.52906980185504,3.20533052059304,3.37990141709912
"Tcas000036",13.2594890951642,13.6156837989516,13.9742853267621,13.188253191033,17.0888450603893,11.2864956523137,16.9753207482895,13.0633487371626,13.7972165281427,15.8808141083477,13.1587252950662,16.41666402591
"Tcas000037",35.2267023722272,37.2258588971335,36.8168671108925,45.4052717005565,30.789384634667,37.9775326679204,36.4301827294752,31.1654177015164,36.4182343242836,37.2757997820939,36.9456517899934,34.7647002901624
"Tcas000040",140.313101021961,124.27932659043,135.174336910795,143.186748931215,127.577067433596,104.171304466625,128.363942287627,137.725019543228,110.056866724487,135.428053646187,132.26205937605,128.597201536295
"Tcas000042",5.34337620252885,23.4653273981931,7.65898330409078,8.47816276566407,6.48197571256147,9.76129353713616,8.9644952266248,20.7147387117863,14.4389475294516,6.6170058784782,8.2663787110031,7.08169820725531
"Tcas000045",1.78112540084295,1.30362929989962,1.74678566584526,1.13042170208854,1.32585866847848,0.305040423035505,1.1444036459521,2.23943121208501,0.962596501963443,0.66170058784782,1.68701606347002,1.12663380569971
"Tcas000046",56.006498715395,57.9390799955385,60.4656576638746,69.3325310614306,52.7397114794774,65.8887313756691,52.2610998318127,63.0773124737277,59.8414158720607,56.4651168296807,77.6027389196209,64.8619176709975
"Tcas000054",46.9029688888643,49.1033702962189,41.6541197240025,53.1298199981615,43.9006536896208,42.8581794364885,34.5228433195551,29.1126057571051,31.4448190641391,51.61264585213,43.1876112248325,44.9044045414598
"Tcas000050",10.6867524050577,5.06966949960962,8.59956020108438,7.34774106357553,5.30343467391393,8.54113184499414,17.3567886302735,6.15843583323377,6.89860826407134,11.4694768560289,9.27858834908511,7.72548895336943
"Tcas000047",86.483533352041,81.2595596937428,90.6984864958118,87.2308746778325,83.0871432246515,66.9563728562934,71.9066957539904,90.3237255540953,80.5372406642747,82.4920066183616,81.145472652908,94.798187365304
"Tcas000052",5.9370846694765,4.34543099966539,3.49357133169053,1.50722893611806,1.17854103864754,4.11804571097932,2.47954123289622,6.53167436858128,2.56692400523585,1.76453490092752,3.71143533963404,1.44852917875677
"Tcas000059",51.8505394467614,53.738496695862,49.850575540661,48.0429223387631,69.9758741696976,59.9404431264767,56.457246533637,55.9857803021252,64.9752638825324,49.4069772259706,52.2974979675706,50.3766258834298
"Tcas000062",12.4678778059006,12.1672067990631,11.6900271483491,12.434638722974,12.5219985356301,8.9986924795474,14.6865134563853,12.690110201815,11.8720235242158,11.2489099934129,11.6404108379431,7.72548895336943
"Tcas000067",28.4980064134872,32.011341697535,25.2612080906854,23.9272593608741,27.2537615187243,30.3515220920328,26.8934856798744,26.4999360096726,30.000924311194,37.2757997820939,31.2097971741954,32.3504849922345
"Tcas000061",112.01299743079,127.031432890218,118.109584636768,117.375453400194,98.1135414674076,93.9524502949356,97.0835759649367,118.876473508179,103.799989461725,123.296876202311,114.548390709614,109.605374525929
"Tcas000063",138.92778126575,105.159430191902,100.104255465748,117.375453400194,339.125183870829,175.855803879969,112.914493067274,114.584230351683,168.935686094584,113.150800521977,115.89800356039,107.191159228001
"Tcas000065",7.1245016033718,5.06966949960962,4.97162074125191,2.82605425522136,10.312234088166,9.15121269106515,5.91275217075253,3.91900462114877,6.25687726276238,7.49927332894196,5.39845140310406,6.59885514766972
"Tcas000064",581.240589141749,432.949775266662,677.349733963537,463.472897856302,576.306567898647,531.837977562403,408.5521016049,453.298201179541,444.398718406456,467.822315608409,643.76532982016,617.073430150383
